,Sim,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Percentage breeding per year,breedP,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SD Percentage breeding per year,breedPSD,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fledgling success,fledgeS,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
SD Fledgling success,fledgeSSD,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
mean number of offspring,meanOff,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
SD mean number of offspring,sdOff,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
max number of offspring,maxOff,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
% offspring that are female,sexRatio,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
juvenile female survival,juveFS,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SD juvenile female survival,juveFSSD,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
juvenile male survival,juveMS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SD juvenile male survival,juveMSSD,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Adult female survival,adultFS,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
SD  adult female survival,adultFSSD,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
adult male survival,adultMS,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
SD adult male survival,adultMSSD,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Number of delayed years when captive population starts,captStart,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,0,0
Number of delayed years when begin collecting crows for rear and release,harvStart,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Number of delayed years when collecting crows for rear and release stops,harvStop,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
New adult survival after mortality control measures are implemented,mortStart,999,16,16,999,999,999,999,999,999,999,999,999,999,999,999,999,16,16
Same as above except juvenile survival,rSite,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
New adult survival after mortality control measures are implemented,newAdSurv,0.85,0.84,0.9,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.84,0.84
